Date,Weeknumber
2011-01-01,1
2011-01-02,1
2011-01-03,2
2011-01-04,2
2011-01-05,2
2011-01-06,2
2011-01-07,2
2011-01-08,2
2011-01-09,2
2011-01-10,3
2011-01-11,3
2011-01-12,3
2011-01-13,3
2011-01-14,3
2011-01-15,3
2011-01-16,3
2011-01-17,4
2011-01-18,4
2011-01-19,4
2011-01-20,4
2011-01-21,4
2011-01-22,4
2011-01-23,4
2011-01-24,5
2011-01-25,5
2011-01-26,5
2011-01-27,5
2011-01-28,5
2011-01-29,5
2011-01-30,5
2011-01-31,6
2011-02-01,6
2011-02-02,6
2011-02-03,6
2011-02-04,6
2011-02-05,6
2011-02-06,6
2011-02-07,7
2011-02-08,7
2011-02-09,7
2011-02-10,7
2011-02-11,7
2011-02-12,7
2011-02-13,7
2011-02-14,8
2011-02-15,8
2011-02-16,8
2011-02-17,8
2011-02-18,8
2011-02-19,8
2011-02-20,8
2011-02-21,9
2011-02-22,9
2011-02-23,9
2011-02-24,9
2011-02-25,9
2011-02-26,9
2011-02-27,9
2011-02-28,10
2011-03-01,10
2011-03-02,10
2011-03-03,10
2011-03-04,10
2011-03-05,10
2011-03-06,10
2011-03-07,11
2011-03-08,11
2011-03-09,11
2011-03-10,11
2011-03-11,11
2011-03-12,11
2011-03-13,11
2011-03-14,12
2011-03-15,12
2011-03-16,12
2011-03-17,12
2011-03-18,12
2011-03-19,12
2011-03-20,12
2011-03-21,13
2011-03-22,13
2011-03-23,13
2011-03-24,13
2011-03-25,13
2011-03-26,13
2011-03-27,13
2011-03-28,14
2011-03-29,14
2011-03-30,14
2011-03-31,14
2011-04-01,14
2011-04-02,14
2011-04-03,14
2011-04-04,15
2011-04-05,15
2011-04-06,15
2011-04-07,15
2011-04-08,15
2011-04-09,15
2011-04-10,15
2011-04-11,16
2011-04-12,16
2011-04-13,16
2011-04-14,16
2011-04-15,16
2011-04-16,16
2011-04-17,16
2011-04-18,17
2011-04-19,17
2011-04-20,17
2011-04-21,17
2011-04-22,17
2011-04-23,17
2011-04-24,17
2011-04-25,18
2011-04-26,18
2011-04-27,18
2011-04-28,18
2011-04-29,18
2011-04-30,18
2011-05-01,18
2011-05-02,19
2011-05-03,19
2011-05-04,19
2011-05-05,19
2011-05-06,19
2011-05-07,19
2011-05-08,19
2011-05-09,20
2011-05-10,20
2011-05-11,20
2011-05-12,20
2011-05-13,20
2011-05-14,20
2011-05-15,20
2011-05-16,21
2011-05-17,21
2011-05-18,21
2011-05-19,21
2011-05-20,21
2011-05-21,21
2011-05-22,21
2011-05-23,22
2011-05-24,22
2011-05-25,22
2011-05-26,22
2011-05-27,22
2011-05-28,22
2011-05-29,22
2011-05-30,23
2011-05-31,23
2011-06-01,23
2011-06-02,23
2011-06-03,23
2011-06-04,23
2011-06-05,23
2011-06-06,24
2011-06-07,24
2011-06-08,24
2011-06-09,24
2011-06-10,24
2011-06-11,24
2011-06-12,24
2011-06-13,25
2011-06-14,25
2011-06-15,25
2011-06-16,25
2011-06-17,25
2011-06-18,25
2011-06-19,25
2011-06-20,26
2011-06-21,26
2011-06-22,26
2011-06-23,26
2011-06-24,26
2011-06-25,26
2011-06-26,26
2011-06-27,27
2011-06-28,27
2011-06-29,27
2011-06-30,27
2011-07-01,27
2011-07-02,27
2011-07-03,27
2011-07-04,28
2011-07-05,28
2011-07-06,28
2011-07-07,28
2011-07-08,28
2011-07-09,28
2011-07-10,28
2011-07-11,29
2011-07-12,29
2011-07-13,29
2011-07-14,29
2011-07-15,29
2011-07-16,29
2011-07-17,29
2011-07-18,30
2011-07-19,30
2011-07-20,30
2011-07-21,30
2011-07-22,30
2011-07-23,30
2011-07-24,30
2011-07-25,31
2011-07-26,31
2011-07-27,31
2011-07-28,31
2011-07-29,31
2011-07-30,31
2011-07-31,31
2011-08-01,32
2011-08-02,32
2011-08-03,32
2011-08-04,32
2011-08-05,32
2011-08-06,32
2011-08-07,32
2011-08-08,33
2011-08-09,33
2011-08-10,33
2011-08-11,33
2011-08-12,33
2011-08-13,33
2011-08-14,33
2011-08-15,34
2011-08-16,34
2011-08-17,34
2011-08-18,34
2011-08-19,34
2011-08-20,34
2011-08-21,34
2011-08-22,35
2011-08-23,35
2011-08-24,35
2011-08-25,35
2011-08-26,35
2011-08-27,35
2011-08-28,35
2011-08-29,36
2011-08-30,36
2011-08-31,36
2011-09-01,36
2011-09-02,36
2011-09-03,36
2011-09-04,36
2011-09-05,37
2011-09-06,37
2011-09-07,37
2011-09-08,37
2011-09-09,37
2011-09-10,37
2011-09-11,37
2011-09-12,38
2011-09-13,38
2011-09-14,38
2011-09-15,38
2011-09-16,38
2011-09-17,38
2011-09-18,38
2011-09-19,39
2011-09-20,39
2011-09-21,39
2011-09-22,39
2011-09-23,39
2011-09-24,39
2011-09-25,39
2011-09-26,40
2011-09-27,40
2011-09-28,40
2011-09-29,40
2011-09-30,40
2011-10-01,40
2011-10-02,40
2011-10-03,41
2011-10-04,41
2011-10-05,41
2011-10-06,41
2011-10-07,41
2011-10-08,41
2011-10-09,41
2011-10-10,42
2011-10-11,42
2011-10-12,42
2011-10-13,42
2011-10-14,42
2011-10-15,42
2011-10-16,42
2011-10-17,43
2011-10-18,43
2011-10-19,43
2011-10-20,43
2011-10-21,43
2011-10-22,43
2011-10-23,43
2011-10-24,44
2011-10-25,44
2011-10-26,44
2011-10-27,44
2011-10-28,44
2011-10-29,44
2011-10-30,44
2011-10-31,45
2011-11-01,45
2011-11-02,45
2011-11-03,45
2011-11-04,45
2011-11-05,45
2011-11-06,45
2011-11-07,46
2011-11-08,46
2011-11-09,46
2011-11-10,46
2011-11-11,46
2011-11-12,46
2011-11-13,46
2011-11-14,47
2011-11-15,47
2011-11-16,47
2011-11-17,47
2011-11-18,47
2011-11-19,47
2011-11-20,47
2011-11-21,48
2011-11-22,48
2011-11-23,48
2011-11-24,48
2011-11-25,48
2011-11-26,48
2011-11-27,48
2011-11-28,49
2011-11-29,49
2011-11-30,49
2011-12-01,49
2011-12-02,49
2011-12-03,49
2011-12-04,49
2011-12-05,50
2011-12-06,50
2011-12-07,50
2011-12-08,50
2011-12-09,50
2011-12-10,50
2011-12-11,50
2011-12-12,51
2011-12-13,51
2011-12-14,51
2011-12-15,51
2011-12-16,51
2011-12-17,51
2011-12-18,51
2011-12-19,52
2011-12-20,52
2011-12-21,52
2011-12-22,52
2011-12-23,52
2011-12-24,52
2011-12-25,52
2011-12-26,53
2011-12-27,53
2011-12-28,53
2011-12-29,53
2011-12-30,53
2011-12-31,53
